Total_DL_Values,CDF,Frequencies
0,0.005010263038809537,0.005010263038809537
728962,0.006822858200055503,0.0018125951612459653
832117,0.2419402018605977,0.23511734366054218
935272,0.46313931481402776,0.22119911295343006
6636305,0.671330244837854,0.20819093002382624
7262112,0.867188027371437,0.19585778253358302
7365267,0.8803762197515369,0.013188192380099955
7468422,0.8972121036354408,0.016835883883903904
7571577,0.9107128124226521,0.01350070878721133
19922669,0.9274261898749684,0.016713377452316245
20025824,0.9725735601119059,0.04514737023693744
20128979,0.9822540683385877,0.009680508226681902
20548476,0.9870718212706167,0.004817752932028931
20651631,0.9962323021958652,0.009160480925248576
20754786,0.9968198330412346,0.0005875308453693819
20857941,0.9978523872503305,0.0010325542090959775
26558974,0.9997499868743108,0.001897599623980259
27184781,0.9999649981624035,0.00021501128809262488
27287936,0.9999699984249173,5.000262513781973e-06
27391091,0.9999749986874311,5.000262513781973e-06
27494246,1.0,2.500131256890987e-05
